token	pos	sem	stanford-token	stanford-pos
water	NN1	O1.2 W3/M4 B1 C1%	water	NN
2.5	MC	N1 T1.2 T3 T1.3 N3.2	2.5	CD
cups	NN2	O2 S7.3+ A5.1+/O2	cups	NNS
of	IO	Z5	of	IN
Organic	JJ	L1 W5	Organic	NNP
Whole	JJ	N5.1+	Whole	NNP
Wheat	NN1	F1	Wheat	NNP
Flour	NN1	F1	Flour	NNP
3	MC	N1 T1.2 T3 T1.3 N3.2	3	CD
tbsp	NNU	I1	tbsp	NN
olive	JJ	O4.3	olive	JJ
oil	NN1	O1.2 C1 C1/O1	oil	NN
A	ZZ1	Z5	A	DT
dash	NN1	N3.8+ N5 Q3 O4.2+%	dash	NN
of	IO	Z5	of	IN
salt	NN1	F1 O1.1	salt	NN
2	MC	N1 T1.2 T3 T1.3 N3.2	2	CD
tsp	NNU	I1	tsp	NN
brown	JJ	F1[i27.2.1 O4.3	brown	JJ
sugar	NN1	F1[i27.2.2 F1	sugar	NN
7	MC	N1 T1.2 T3 T1.3 N3.2	7	CD
tbsp	NNU	I1	tbsp	NN
flax	NN1	L3[i28.2.1 L3	flax	NN
seeds	NN2	L3[i28.2.2 L3 T2+ K5.1/S2	seeds	NNS
4	MC	N1 T1.2 T3 T1.3 N3.2	4	CD
tbsp	NNU	I1	tbsp	NN
milled	JJ@	O4.1 O4.2+	milled	VBN
flax	NN1	L3[i29.2.1 L3	flax	NN
seeds	NN2	L3[i29.2.2 L3 T2+ K5.1/S2	seeds	NNS
6	MC	N1 T1.2 T3 T1.3 N3.2	6	CD
tbsp	NNU	I1	tbsp	NN
chia	NN1	L3[i30.2.1	chia	NN
seeds	NN2	L3[i30.2.2 L3 T2+ K5.1/S2	seeds	NNS
2	MC	N1 T1.2 T3 T1.3 N3.2	2	CD
teaspoons	NN2	O2 N5	teaspoons	NNS
of	IO	Z5	of	IN
yeast	NN1	L3 F1	yeast	NN
How	RRQ	Z5 A13.3	How	WRB
to	TO	Z5	to	TO
make	VVI	X9.2+[i31.2.1 M1[i31.2.1 A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+	make	VB
it	PPH1	X9.2+[i31.2.2 M1[i31.2.2 Z8	it	PRP
:	:	""	:	:
Put	VV0	M2[i32.2.1 A9-[i32.2.1 M2 Q2.1 Q2.2 A1.1.1	Put	VB
everything	PN1	Z8/N5.1+	everything	NN
into	II	M2[i32.2.2 A9-[i32.2.2 Z5	into	IN
your	APPGE	Z8	your	PRP$
bread	NN1	F1 I1.1	bread	NN
machine	NN1	O2 Y2	machine	NN
,	,	""	,	,
set	VVN	M2 M6 O4.5 O4.1 W4 A1.1.1 B3 B4 X6+ S6+ K2 Q4.3	set	VBN
to	II	Z5	to	TO
Whole	JJ	N5.1+	Whole	NNP
Wheat	NN1	F1	Wheat	NNP
setting	NN1	M2 M6 O4.5 O4.1 W4 A1.1.1 B3 B4 X6+ S6+ K2 Q4.3	setting	VBG
and	CC	Z5	and	CC
wait	VV0	T1.3 A3+ A11.1+ S1.1.1%	wait	VB
while	CS	Z5	while	IN
it	PPH1	Z8	it	PRP
bakes	VVZ	F1 O4.6	bakes	VBZ
;	;	""	;	:
-	-	""	-	:
)	)	""	)	CD
It	PPH1	Z8	It	PRP
makes	VVZ	A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+	makes	VBZ
about	RG	A13.4	about	IN
20	MC	N1 T1.2 T3 T1.3 N3.2	20	CD
thin	JJ	N3.7- B1 O4.5 N5- A5.1- X3.2%	thin	JJ
slices	NN2	O2 N5.1-	slices	NNS
.	.	""	.	.
-----	-----	""	-----	CD
The	AT	Z5	The	DT
macros	NN2	Y2	macros	NNS
are	VBR	Z5 A3+	are	VBP
provided	VVN	A9- S6+	provided	VBN
per	II	Z5	per	IN
one	MC1	N1 T3 T1.2	one	CD
40	MC	N1 T1.2 T3 T1.3 N3.2	40	CD
gr	NNU	N3.5	gr	NN
slice	NN1	O2 N5.1-	slice	NN
.	.	""	.	.
-----	-----	""	-----	CD
Macros	NN2	Y2	Macros	NNP
:	:	""	:	:
Calories	NNU2	N3/F1	Calories	NNS
:	:	""	:	:
93	MC	N1 T1.2 T3 T1.3 N3.2	93	CD
Protein	NN1	O1	Protein	NN
:	:	""	:	:
3.5	MC	N1 T1.2 T3 T1.3 N3.2	3.5	CD
gr	NNU	N3.5	gr	NN
Carbs	NN2@	Z99	Carbs	NNS
:	:	""	:	:
13.5	MC	N1 T1.2 T3 T1.3 N3.2	13.5	CD
gr	NNU	N3.5	gr	NN
Fat	NN1	O1	Fat	NNP
:	:	""	:	:
2.5	MC	N1 T1.2 T3 T1.3 N3.2	2.5	CD
gr	NNU	N3.5	gr	NN
All	RR@	A13.2	All	DT
of	IO	Z5	of	IN
my	APPGE	Z8	my	PRP$
friends	NN2	S3.1/S2mf	friends	NNS
who	PNQS	Z8	who	WP
have	VH0	Z5 A9+ A2.2 S4	have	VBP
ever	RR	T1.1 N6+++ A13	ever	RB
tried	VVN	X8+ X2.4 Q2.2 G2.1 A12-	tried	VBN
this	DD1	M6 Z5 Z8	this	DT
bread	NN1	F1 I1.1	bread	NN
,	,	""	,	,
absolutely	RR	A13.2 Z4	absolutely	RB
loved	VVD	E2+	loved	VBD
it	PPH1	Z8	it	PRP
.	.	""	.	.
-----	-----	""	-----	CD
Seriously	RR	A13.3 Z4 E4.1-	Seriously	RB
.	.	""	.	.
-----	-----	""	-----	CD
Try	VV0	X8+ X2.4 Q2.2 G2.1 A12-	Try	VB
it	PPH1	Z8	it	PRP
and	CC	Z5	and	CC
let	VV0	Q2.1[i33.2.1 S7.4+ I2.2/H1 T2-	let	VB
me	PPIO1	Z8mf	me	PRP
know	VVI	Q2.1[i33.2.2 X2.2+ S3.2/B1%	know	VB
how	RRQ	Z5 A13.3	how	WRB
it	PPH1	Z8	it	PRP
came	VVD	M1[i34.2.1 A10-[i34.2.1 A10+[i34.2.1 A1.1.1[i34.2.1 T2-[i34.2.1 S3.2/B1@[i34.2.1 M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2	came	VBD
out	RP	M1[i34.2.2 A10-[i34.2.2 A10+[i34.2.2 A1.1.1[i34.2.2 T2-[i34.2.2 S3.2/B1@[i34.2.2 M6	out	RP
;	;	""	;	:
-	-	""	-	:
)	)	""	)	CD
Love	VV0	E2+	Love	NNP
,	,	""	,	,
Vera	NP1	Z1f	Vera	NNP
"</text>
"	NULL	""	</text>	NNP
